slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,AvgTur,AvgDrg,AvgBrns,AvgLgth,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
48221,vs HLE,LCK Main,Deft,ADC,P,DRX,3,-1375,93.50%,10200,3.8,1.8,5.2,311.1,0,0,0,32:25:00,44.3,109.3,75.5,26,70.33,70.33,100,,66,6.9
48221,vs APK,LCK Main,Aiming,ADC,P,KT,3,-625,86.20%,9700,3.7,1.7,4.1,316.4,0,0,0,31:57:00,54.3,129.6,62.7,30.1,84.43,84.43,100,,52,8.7
48221,vs HLE,LCK Main,Chovy,MID,P,DRX,3,-1375,93.50%,9300,3.4,1.6,5.1,303.1,0,0,0,32:25:00,41.6,104.1,71.3,25,66.55,66.55,100,,65,7.2
48221,vs KT,LCK Main,HyBriD,ADC,P,APK,3,625,13.80%,9300,3.3,2.6,2.8,340.5,0,0,0,33:33:00,3.1,82.8,49.8,31.9,34.99,34.99,100,,36,3.8
48221,vs KT,LCK Main,Trigger,ADC,P,APK,3,625,13.80%,9000,2.1,3.7,2.7,286.4,0,0,0,32:50:00,0,47.6,20.9,19.2,18.8,18.8,100,,8,2.1
48221,vs HLE,LCK Main,Pyosik,JNG,P,DRX,3,-1375,93.50%,8800,2.7,1.9,6.9,188.9,0,0,0,32:25:00,36,101.7,67.9,26.3,62.29,62.29,100,,61,7.1
48221,vs DRX,LCK Main,Viper,ADC,P,HLE,3,1375,6.80%,8800,2.8,1.8,3,330,0,0,0,32:30:00,0,55.3,51.2,26.5,15.5,15.5,100,,48,1.8
48221,vs APK,LCK Main,Kuro,MID,D,KT,3,-625,86.20%,8800,2,1.6,5,262.7,0,0,0,31:47:00,0,38.7,52.4,25.8,0,0,100,,51,0
48221,vs HLE,LCK Main,Doran,TOP,P,DRX,3,-1375,93.50%,8700,2.6,2.5,5.3,271.7,0,0,0,32:25:00,34.5,93.7,62.2,23.7,58.18,58.18,100,,62,6.7
48221,vs APK,LCK Main,Ucal,MID,P,KT,3,-625,86.20%,8700,2.3,2,3.9,293,0,0,0,33:18:00,0,47.7,48.9,25.8,9.02,9.02,100,,47,1
48221,vs DRX,LCK Main,Vsta,ADC,D,HLE,3,1375,6.80%,8600,2.6,1.9,3.9,264.1,0,0,0,31:50:00,0,52.5,45.5,35,0,0,100,,23,0
48221,vs APK,LCK Main,bonO,JNG,D,KT,3,-625,86.20%,8400,1.8,2.3,5.8,170.9,0,0,0,32:20:00,0,41.3,46.3,27.5,0,0,100,,41,0
48221,vs APK,LCK Main,SoHwan,TOP,D,KT,3,-625,86.20%,8300,1.7,2.1,4,256.2,0,0,0,32:03:00,0,38.3,42.3,25.5,0,0,100,,40,0
48221,vs KT,LCK Main,Mickey,MID,P,APK,3,625,13.80%,8300,2.1,3,3.1,274.1,0,0,0,32:30:00,0,45.3,27.5,21.8,12.63,12.63,100,,21,1.5
48221,vs APK,LCK Main,Smeb,TOP,P,KT,3,-625,86.20%,8200,2.4,2.6,4,219.5,0,0,0,32:47:00,38.1,104.4,41.8,26.5,64.6,64.6,100,,37,7.9
48221,vs HLE,LCK Main,Keria,SUP,P,DRX,3,-1375,93.50%,8100,0.9,1.9,8.9,42.6,0,0,0,32:25:00,29,88.5,56.5,23.8,52.78,52.78,100,,58,6.5
48221,vs HLE,LCK Main,DRX,TEAM,Y,DRX,3,-1375,93.50%,8100,0,0,0,0,2,1,0,28:43:00,57.1,57.1,4,0,57.08,57.08,100,,0,7
48221,vs DRX,LCK Main,CuVee,TOP,P,HLE,3,1375,6.80%,8000,2,3.6,3,246.3,0,0,0,32:25:00,0,64.1,33.7,26.2,24.79,24.79,100,,22,3.1
48221,vs DRX,LCK Main,Mireu,MID,P,HLE,3,1375,6.80%,7900,1.4,3,4.1,253.5,0,0,0,30:27:00,12.2,67.2,35.1,22,34.15,34.15,100,,37,4.3
