id,site,league,slate,site_id,name,period,max_entries,max_entrants,cost,prizepool,places_paid,total_entrants,winning_score,mincash_score,startdate,winning_payout,mincash_payout,DateTime,Title,game_cnt,winner_cnt,winner,has_lineups
519918322,draftkings,LOL,37883,89208363,LOL $4K mini-MAX [150 Entry Max] (LPL-LCK),2020-08-06,150,9512,0.5,4000.0,,,,,1596700800,,,2020-08-06 04:00:00,(LPL/LCK),4,0,,0
519918319,draftkings,LOL,37883,89208365,LOL $5K mini-MAX [150 Max Entry] (LPL-LCK),2020-08-06,150,5945,1.0,5000.0,,,,,1596700800,,,2020-08-06 04:00:00,(LPL/LCK),4,0,,0
519606065,draftkings,LOL,37883,89192432,LOL $70K Shock Blast [$20K to 1st] (LPL-LCK),2020-08-06,150,5490,15.0,70000.0,,,,,1596700800,,,2020-08-06 04:00:00,(LPL/LCK),4,0,,0
519606067,draftkings,LOL,37883,89192431,LOL $15K Elder Dragon [$5K to 1st] (LPL-LCK),2020-08-06,20,4458,4.0,15000.0,,,,,1596700800,,,2020-08-06 04:00:00,(LPL/LCK),4,0,,0
519918338,draftkings,LOL,37883,89208345,LOL $750 Quarter Jukebox [Just $0.25!] (LPL-LCK),2020-08-06,20,3567,0.25,750.0,,,,,1596700800,,,2020-08-06 04:00:00,(LPL/LCK),4,0,,0
519918343,draftkings,LOL,37883,89208353,LOL $200 Dime Time [Just $0.10!] (LPL-LCK),2020-08-06,20,2378,0.1,200.0,,,,,1596700800,,,2020-08-06 04:00:00,(LPL/LCK),4,0,,0
519584336,fanduel,LOL,47751,47751-236026348,$10K Thu LOL Nexus ($2K to 1st),2020-08-06,64,2145,5.55,10000.0,,,,,1596700800,,,2020-08-06 04:00:00,LCK LPL Main,4,0,,0
519584344,fanduel,LOL,47751,47751-236026278,$200 Thu LOL Turret (Only $0.25 to Enter),2020-08-06,28,958,0.25,200.0,,,,,1596700800,,,2020-08-06 04:00:00,LCK LPL Main,4,0,,0
520175971,draftkings,LOL,37885,89235276,LOL $8K Titan's Fury [$2K to 1st] (Academy),2020-08-06,28,941,10.0,8000.0,,,,,1596751200,,,2020-08-06 18:00:00,(Academy),5,0,,0
519918339,draftkings,LOL,37883,89208350,LOL $750 First Blood (LPL-LCK),2020-08-06,20,891,1.0,750.0,,,,,1596700800,,,2020-08-06 04:00:00,(LPL/LCK),4,0,,0
519928789,draftkings,LOL,37884,89208935,LOL $6K Skill Shot [$2K to 1st] (LPL-LCK Late),2020-08-06,26,882,8.0,6000.0,,,,,1596711600,,,2020-08-06 07:00:00,(LPL/LCK Late),2,0,,0
519928799,draftkings,LOL,37884,89208927,LOL $150 Quarter Jukebox [Just $0.25!] (LPL-LCK Late),2020-08-06,20,713,0.25,150.0,,,,,1596711600,,,2020-08-06 07:00:00,(LPL/LCK Late),2,0,,0
520175983,draftkings,LOL,37885,89232795,LOL $150 Quarter Jukebox [Just $0.25!] (Academy),2020-08-06,20,713,0.25,150.0,,,,,1596751200,,,2020-08-06 18:00:00,(Academy),5,0,,0
519928801,draftkings,LOL,37884,89208932,LOL $50 Dime Time [Just $0.10!] (LPL-LCK Late),2020-08-06,17,594,0.1,50.0,,,,,1596711600,,,2020-08-06 07:00:00,(LPL/LCK Late),2,0,,0
520175985,draftkings,LOL,37885,89232801,LOL $50 Dime Time [Just $0.10!] (Academy),2020-08-06,17,594,0.1,50.0,,,,,1596751200,,,2020-08-06 18:00:00,(Academy),5,0,,0
