"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"47274-122985","ADC","Hope","Hope","Hope","76.13263260690789","19","10200","EDG@LNG","EDG","LNG","","","","",""
"47274-123065","ADC","ZWuji","ZWuji","ZWuji","68.31333414713542","18","9900","RW@BLG","RW","BLG","","","","",""
"47274-123057","ADC","Wings","Wings","Wings","44.00374984741211","16","9400","RW@BLG","BLG","RW","","","","",""
"47274-122984","MID","Scout","Scout","Scout","73.91599731445312","20","9100","EDG@LNG","EDG","LNG","","","","",""
"47274-123024","ADC","Light","Light","Light","45.057776557074654","18","9000","EDG@LNG","LNG","EDG","","","","",""
"47274-123064","MID","Wuming","Wuming","Wuming","43.285714285714285","14","8800","RW@BLG","RW","BLG","","","","",""
"47274-122981","JNG","JieJie","JieJie","JieJie","47.505880916819855","17","8700","EDG@LNG","EDG","LNG","","","","",""
"47274-123055","MID","FoFo","FoFo","FoFo","66.17222086588542","18","8400","RW@BLG","BLG","RW","","","","",""
"47274-123062","JNG","Haro","Haro","Haro","73.50375366210938","16","8300","RW@BLG","RW","BLG","","","","",""
"47274-122979","TOP","Aodi","Aodi","Aodi","44.05333455403646","18","8200","EDG@LNG","EDG","LNG","","","","",""
"47274-122983","JNG","JunJia","JunJia","JunJia","31.60470760569853","17","8200","EDG@LNG","EDG","LNG","","","","",""
"47274-123022","MID","Maple","Maple","Maple","44.19999864366319","18","8100","EDG@LNG","LNG","EDG","","","","",""
"47274-123063","MID","Ruby","Ruby","Ruby","46.78615159254808","13","8000","RW@BLG","RW","BLG","","","","",""
"47274-122986","SUP","Meiko","Meiko","Meiko","50.30799865722656","20","7900","EDG@LNG","EDG","LNG","","","","",""
"47274-123054","JNG","Meteor","Meteor","Meteor","56.16470516429228","17","7900","RW@BLG","BLG","RW","","","","",""
"47274-123060","TOP","Holder","Holder","Holder","44.742221408420136","18","7900","RW@BLG","RW","BLG","","","","",""
"47274-123096","TEAM","Edward Gaming","Edward Gaming","Edward Gaming","42.5","20","7800","EDG@LNG","EDG","LNG","","","","",""
"47274-122980","TOP","Xiaoxiang","Xiaoxiang","Xiaoxiang","14.442856924874443","14","7800","EDG@LNG","EDG","LNG","","","","",""
"47274-123053","TOP","Kingen","Kingen","Kingen","40.76235423368566","17","7700","RW@BLG","BLG","RW","","","","",""
"47274-123021","JNG","Xx","Xx","Xx","37.643334282769096","18","7600","EDG@LNG","LNG","EDG","","","","",""
"47274-123067","SUP","Ley","Ley","RW","49.94235409007353","17","7600","RW@BLG","RW","BLG","","","","",""
"47274-123066","TEAM","Rogue Warriors","Rogue Warriors","Rogue Warriors","34.94444444444444","18","7600","RW@BLG","RW","BLG","","","","",""
"47274-123102","TEAM","Bilibili Gaming","Bilibili Gaming","Bilibili Gaming","40.166666666666664","18","7400","RW@BLG","BLG","RW","","","","",""
"47274-123052","TOP","ADD","ADD","ADD","18.303077110877403","13","7400","RW@BLG","BLG","RW","","","","",""
"47274-123100","TEAM","LNG Esports","LNG Esports","LNG Esports","25","18","7200","EDG@LNG","LNG","EDG","","","","",""
"47274-123058","SUP","XinMo","XinMo","XinMo","40.16333346896701","18","7200","RW@BLG","BLG","RW","","","","",""
"47274-123019","TOP","Flandre","Flandre","Flandre","20.77076838566707","13","7100","EDG@LNG","LNG","EDG","","","","",""
"47274-123025","SUP","Duan","Duan","Duan","26.596923828125","13","6900","EDG@LNG","LNG","EDG","","","","",""
"47274-123020","TOP","chenlun17","chenlun17","chenlun17","22.50374984741211","16","6800","EDG@LNG","LNG","EDG","","","","",""
"47274-123026","SUP","Iwandy","Iwandy","Iwandy","5.085714067731585","14","6700","EDG@LNG","LNG","EDG","","","","",""
"47274-131337","JNG","l3est16","l3est16","l3est16","21.392499923706055","8","6200","RW@BLG","BLG","RW","","","","",""
"47274-131340","JNG","Youdang","Youdang","Youdang","9.61999969482422","5","6200","RW@BLG","RW","BLG","","","","",""
"47274-134509","SUP","xunyu","xunyu","xunyu","2.430000066757202","2","6200","RW@BLG","RW","BLG","","","","",""
"47274-123056","SUP","Jinjiao","Jinjiao","Jinjiao","37.78307635967548","13","6200","RW@BLG","BLG","RW","","","","",""
"47274-123061","TOP","Crazy","Crazy","Crazy","19.033999633789062","10","6200","RW@BLG","RW","BLG","","","","",""
"47274-131700","ADC","BBD","BBD","BBD","13.806666904025608","9","6200","EDG@LNG","EDG","LNG","","","","",""
