slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
47144,vs DMO,LCK LPL Main,JackeyLove,ADC,Y,TES,3.0,-1675.0,94.3%,10300.0,4.5,2.7,5.6,303.2,44.0,152.0,70.8,43.2,87.22,87.22,100.0,,39.0,8.5
47144,vs LNG,LCK LPL Main,Loken,ADC,Y,JDG,3.0,-1225.0,92.6%,10000.0,4.3,1.6,6.2,304.8,56.7,123.9,81.4,26.9,83.57,83.57,100.0,,67.0,8.4
47144,vs DYN,LCK LPL Main,Ruler,ADC,P,GEN,3.0,-650.0,87%,9700.0,4.7,1.3,5.0,317.8,46.4,114.6,77.9,27.3,73.66,73.66,100.0,,65.0,7.6
47144,vs KT,LCK LPL Main,Deft,ADC,P,DRX,3.0,-545.0,84.7%,9500.0,4.0,1.7,5.3,313.9,46.2,107.4,78.2,24.5,70.66,70.66,100.0,,69.0,7.4
47144,vs DRX,LCK LPL Main,Aiming,ADC,P,KT,3.0,545.0,15.5%,9300.0,3.8,1.6,4.3,312.5,13.2,93.9,63.6,32.3,45.48,45.48,100.0,,49.0,4.9
47144,vs DMO,LCK LPL Main,Knight,MID,Y,TES,3.0,-1675.0,94.3%,9300.0,5.4,2.1,6.4,298.5,47.7,153.0,83.0,42.1,89.81,89.81,100.0,,49.0,9.7
47144,vs GEN,LCK LPL Main,deokdam,ADC,P,DYN,3.0,650.0,13.3%,9100.0,2.3,2.6,4.1,290.2,8.7,72.5,49.4,25.5,34.21,34.21,100.0,,48.0,3.8
47144,vs LNG,LCK LPL Main,Yagao,MID,Y,JDG,3.0,-1225.0,92.6%,9000.0,3.8,1.6,6.3,269.4,49.7,109.7,76.7,24.0,73.7,73.7,100.0,,69.0,8.2
47144,vs DYN,LCK LPL Main,Bdd,MID,P,GEN,3.0,-650.0,87%,8800.0,3.6,1.3,6.1,278.6,48.5,108.8,74.7,24.1,72.6,72.6,100.0,,68.0,8.3
47144,vs JDG,LCK LPL Main,Light,ADC,Y,LNG,3.0,1225.0,7.5%,8700.0,2.7,2.3,3.4,288.5,6.6,87.6,45.4,32.4,38.98,38.98,100.0,,29.0,4.5
47144,vs DMO,LCK LPL Main,369,TOP,Y,TES,3.0,-1675.0,94.3%,8700.0,2.6,2.9,6.3,263.5,38.2,120.7,61.3,33.0,71.19,71.19,100.0,,46.0,8.2
47144,vs DMO,LCK LPL Main,Karsa,JNG,Y,TES,3.0,-1675.0,94.3%,8700.0,2.3,3.0,8.0,166.8,30.3,117.8,62.4,35.0,65.32,65.32,100.0,,44.0,7.5
47144,vs TES,LCK LPL Main,Xubin,ADC,Y,DMO,3.0,1675.0,5.6%,8600.0,3.1,2.5,4.3,297.5,13.2,88.7,54.1,30.2,43.35,43.35,100.0,,44.0,5.0
47144,vs KT,LCK LPL Main,Chovy,MID,P,DRX,3.0,-545.0,84.7%,8600.0,3.5,1.4,5.3,303.1,42.6,101.4,73.6,23.5,66.14,66.14,100.0,,68.0,7.7
47144,vs LNG,LCK LPL Main,Zoom,TOP,Y,JDG,3.0,-1225.0,92.6%,8500.0,3.0,2.3,7.3,254.5,47.7,96.7,74.8,19.6,67.26,67.26,100.0,,74.0,7.9
47144,vs LNG,LCK LPL Main,Kanavi,JNG,Y,JDG,3.0,-1225.0,92.6%,8500.0,3.9,2.1,7.1,205.6,50.1,111.4,77.1,24.5,74.62,74.62,100.0,,68.0,8.8
47144,vs TES,LCK LPL Main,Helper,ADC,N,DMO,3.0,1675.0,5.6%,8500.0,2.3,2.7,3.3,232.0,0.0,12.6,31.3,8.4,0.0,0.0,100.0,,73.0,0.0
47144,vs DRX,LCK LPL Main,Kuro,MID,P,KT,3.0,545.0,15.5%,8400.0,2.1,1.5,5.2,257.8,11.6,77.1,54.0,26.2,37.83,37.83,100.0,,51.0,4.5
47144,vs DYN,LCK LPL Main,Rascal,TOP,P,GEN,3.0,-650.0,87%,8300.0,2.4,1.8,6.4,263.4,38.7,100.7,65.1,24.8,63.51,63.51,100.0,,62.0,7.7
47144,vs DYN,LCK LPL Main,Clid,JNG,P,GEN,3.0,-650.0,87%,8300.0,2.5,1.8,7.3,178.5,38.9,100.1,66.2,24.5,63.37,63.37,100.0,,63.0,7.6
47144,vs KT,LCK LPL Main,Pyosik,JNG,P,DRX,3.0,-545.0,84.7%,8200.0,2.6,1.9,7.0,189.4,37.2,97.9,68.7,24.3,61.47,61.47,100.0,,65.0,7.5
47144,vs DRX,LCK LPL Main,Ucal,MID,D,KT,3.0,545.0,15.5%,8200.0,2.3,1.9,3.8,292.0,0.0,38.6,49.9,25.7,0.0,0.0,100.0,,48.0,0.0
47144,vs KT,LCK LPL Main,Doran,TOP,P,DRX,3.0,-545.0,84.7%,8100.0,2.4,2.4,5.5,268.2,32.4,88.1,61.7,22.3,54.67,54.67,100.0,,64.0,6.7
47144,vs GEN,LCK LPL Main,Kuzan,MID,P,DYN,3.0,650.0,13.3%,8100.0,3.1,1.8,4.9,264.8,0.0,94.9,66.8,40.3,34.43,34.43,100.0,,40.0,4.3
47144,vs DMO,LCK LPL Main,Top Esports,TEAM,Y,TES,3.0,-1675.0,94.3%,8100.0,0.0,0.0,0.0,0.0,37.9,87.6,52.0,19.9,57.77,57.77,100.0,,62.0,7.1
47144,vs DMO,LCK LPL Main,yuyanjia,SUP,Y,TES,3.0,-1675.0,94.3%,8100.0,0.6,2.5,9.5,25.0,20.6,105.9,49.7,34.1,54.71,54.71,100.0,,31.0,6.8
47144,vs KT,LCK LPL Main,Quad,MID,D,DRX,3.0,-545.0,84.7%,8000.0,,,,,0.0,0.0,,,0.0,0.0,100.0,,0.0,0.0
47144,vs DRX,LCK LPL Main,bonO,JNG,P,KT,3.0,545.0,15.5%,8000.0,1.7,2.2,6.0,169.5,2.4,73.9,47.3,28.6,30.95,30.95,100.0,,40.0,3.9
47144,vs JDG,LCK LPL Main,Maple,MID,Y,LNG,3.0,1225.0,7.5%,7900.0,2.7,2.2,4.3,251.4,2.7,88.2,52.2,34.2,36.93,36.93,100.0,,34.0,4.7
47144,vs GEN,LCK LPL Main,Beyond,JNG,P,DYN,3.0,650.0,13.3%,7900.0,2.0,2.1,7.2,159.4,0.0,93.3,63.5,40.7,32.21,32.21,100.0,,36.0,4.1
47144,vs GEN,LCK LPL Main,Rich,TOP,P,DYN,3.0,650.0,13.3%,7900.0,2.9,2.5,5.1,245.2,0.0,85.9,63.1,36.1,31.78,31.78,100.0,,43.0,4.0
47144,vs LNG,LCK LPL Main,JD Gaming,TEAM,Y,JDG,3.0,-1225.0,92.6%,7900.0,0.0,0.0,0.0,0.0,38.9,84.9,49.8,18.4,57.28,57.28,100.0,,63.0,7.3
47144,vs LNG,LCK LPL Main,LvMao,SUP,Y,JDG,3.0,-1225.0,92.6%,7900.0,0.6,2.2,10.1,36.1,34.0,87.5,58.7,21.4,55.41,55.41,100.0,,64.0,7.0
47144,vs DRX,LCK LPL Main,SoHwan,TOP,P,KT,3.0,545.0,15.5%,7800.0,1.6,2.0,4.2,251.9,2.6,67.8,43.0,26.1,28.68,28.68,100.0,,39.0,3.7
47144,vs JDG,LCK LPL Main,Xx,JNG,Y,LNG,3.0,1225.0,7.5%,7700.0,1.5,2.8,5.1,165.1,2.4,68.1,41.4,26.3,28.66,28.66,100.0,,36.0,3.7
47144,vs DRX,LCK LPL Main,Malrang,JNG,D,KT,3.0,545.0,15.5%,7700.0,1.5,1.8,2.5,141.3,0.0,7.1,10.6,4.7,0.0,0.0,100.0,,56.0,0.0
47144,vs TES,LCK LPL Main,Twila,MID,Y,DMO,3.0,1675.0,5.6%,7700.0,2.3,3.5,4.4,264.1,13.6,71.8,43.5,23.3,36.85,36.85,100.0,,46.0,4.8
47144,vs DYN,LCK LPL Main,Life,SUP,P,GEN,3.0,-650.0,87%,7700.0,0.6,1.8,8.7,44.6,19.4,76.7,54.1,22.9,42.3,42.3,100.0,,58.0,5.5
47144,vs DYN,LCK LPL Main,Gen.G,TEAM,Y,GEN,3.0,-650.0,87%,7700.0,0.0,0.0,0.0,0.0,37.1,78.6,46.9,16.6,53.73,53.73,100.0,,65.0,7.0
47144,vs DMO,LCK LPL Main,QiuQiu,SUP,N,TES,3.0,-1675.0,94.3%,7700.0,1.4,2.6,11.2,63.8,0.0,32.1,68.8,21.4,0.0,0.0,100.0,,69.0,0.0
47144,vs DRX,LCK LPL Main,Smeb,TOP,D,KT,3.0,545.0,15.5%,7700.0,2.1,2.5,4.2,202.8,0.0,40.4,40.2,26.9,0.0,0.0,100.0,,33.0,0.0
47144,vs TES,LCK LPL Main,Chelizi,TOP,Y,DMO,3.0,1675.0,5.6%,7600.0,2.3,2.8,4.6,247.3,14.9,69.4,47.8,21.8,36.71,36.71,100.0,,54.0,4.8
47144,vs KT,LCK LPL Main,Keria,SUP,P,DRX,3.0,-545.0,84.7%,7600.0,0.9,1.9,9.0,41.1,28.5,85.8,57.5,22.9,51.4,51.4,100.0,,60.0,6.8
47144,vs KT,LCK LPL Main,DRX,TEAM,Y,DRX,3.0,-545.0,84.7%,7600.0,0.0,0.0,0.0,0.0,51.1,51.1,4.0,0.0,51.11,51.11,100.0,,0.0,6.7
47144,vs JDG,LCK LPL Main,chenlun17,TOP,N,LNG,3.0,1225.0,7.5%,7600.0,1.8,3.2,3.5,220.5,0.0,49.5,34.0,33.0,0.0,0.0,100.0,,3.0,0.0
47144,vs TES,LCK LPL Main,Xiaopeng,JNG,Y,DMO,3.0,1675.0,5.6%,7600.0,2.3,3.4,6.0,174.8,6.4,76.9,48.4,28.2,34.57,34.57,100.0,,42.0,4.5
47144,vs JDG,LCK LPL Main,Flandre,TOP,Y,LNG,3.0,1225.0,7.5%,7500.0,2.1,3.4,4.3,260.6,1.2,68.7,43.0,27.0,28.24,28.24,100.0,,37.0,3.8
47144,vs TES,LCK LPL Main,Natural,TOP,N,DMO,3.0,1675.0,5.6%,7500.0,2.8,3.3,3.4,265.7,0.0,47.0,41.6,31.3,0.0,0.0,100.0,,25.0,0.0
47144,vs TES,LCK LPL Main,bless,JNG,N,DMO,3.0,1675.0,5.6%,7500.0,0.8,3.0,3.8,148.8,0.0,0.5,12.9,0.3,0.0,0.0,100.0,,0.0,0.0
