slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,AvgTur,AvgDrg,AvgBrns,AvgLgth,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
48706,vs MAD,LEC LCS Playoffs,Perkz,ADC,P,G2,5,-235.0,69.9%,10200,4.4,2.6,5.5,285.0,0.0,0.0,0.0,31:33,68.6,175.6,42.7,42.8,111.4,111.4,100,,0,10.9
48706,vs EG,LEC LCS Playoffs,Zven,ADC,P,C9,5,-330.0,76.9%,9700,4.3,1.1,5.3,283.1,0.0,0.0,0.0,29:58,72.0,159.7,40.0,35.1,107.05,107.05,100,,12,11.0
48706,vs G2,LEC LCS Playoffs,Carzzy,ADC,P,MAD,5,235.0,29.9%,9300,3.7,2.0,6.0,256.3,0.0,0.0,0.0,31:47,60.2,142.2,34.2,32.8,93.04,93.04,100,,4,10.0
48706,vs MAD,LEC LCS Playoffs,Caps,MID,P,G2,5,-235.0,69.9%,9300,4.7,2.4,7.3,272.6,0.0,0.0,0.0,31:31,86.9,205.4,48.3,47.4,134.27,134.27,100,,2,14.4
48706,vs EG,LEC LCS Playoffs,Nisqy,MID,P,C9,5,-330.0,76.9%,8900,3.2,1.6,8.0,232.1,0.0,0.0,0.0,29:58,81.7,178.2,41.5,38.6,120.25,120.25,100,,7,13.5
48706,vs C9,LEC LCS Playoffs,Bang,ADC,P,EG,5,330.0,23.3%,8800,2.9,1.4,4.7,304.5,0.0,0.0,0.0,33:45,52.6,127.6,33.4,30.0,82.62,82.62,100,,10,9.4
48706,vs MAD,LEC LCS Playoffs,Jankos,JNG,P,G2,5,-235.0,69.9%,8600,3.5,2.4,7.6,164.7,0.0,0.0,0.0,31:31,79.1,174.9,40.3,38.3,117.41,117.41,100,,5,13.7
48706,vs G2,LEC LCS Playoffs,Humanoid,MID,P,MAD,5,235.0,29.9%,8400,3.8,2.6,5.5,288.3,0.0,0.0,0.0,31:47,69.1,130.3,32.2,24.5,93.56,93.56,100,,24,11.1
48706,vs EG,LEC LCS Playoffs,Blaber,JNG,P,C9,5,-330.0,76.9%,8200,4.0,2.3,7.0,190.5,0.0,0.0,0.0,29:58,67.4,151.4,39.0,33.6,100.98,100.98,100,,14,12.3
48706,vs MAD,LEC LCS Playoffs,Wunder,TOP,P,G2,5,-235.0,69.9%,8200,2.9,2.8,6.1,240.0,0.0,0.0,0.0,31:31,65.8,151.8,35.2,34.4,100.19,100.19,100,,2,12.2
48706,vs C9,LEC LCS Playoffs,Goldenglue,MID,P,EG,5,330.0,23.3%,8000,2.5,2.5,4.1,277.5,0.0,0.0,0.0,34:06,10.5,87.0,27.3,30.6,41.08,41.08,100,,0,5.1
48706,vs MAD,LEC LCS Playoffs,Mikyx,SUP,P,G2,5,-235.0,69.9%,8000,1.1,2.9,9.5,49.1,0.0,0.0,0.0,31:31,44.8,140.0,33.3,38.1,82.86,82.86,100,,0,10.4
48706,vs MAD,LEC LCS Playoffs,G2 Esports,TEAM,Y,G2,5,-235.0,69.9%,7900,0.0,0.0,0.0,0.0,7.7,2.3,0.6,31:31,54.1,113.6,24.5,23.8,77.87,77.87,100,,3,9.9
48706,vs G2,LEC LCS Playoffs,Shad0w,JNG,P,MAD,5,235.0,29.9%,7900,3.2,2.5,6.7,163.9,0.0,0.0,0.0,31:47,55.5,136.7,31.7,32.5,87.99,87.99,100,,0,11.1
48706,vs EG,LEC LCS Playoffs,Licorice,TOP,P,C9,5,-330.0,76.9%,7800,2.6,2.1,5.9,246.0,0.0,0.0,0.0,29:58,48.7,130.4,33.5,32.7,81.37,81.37,100,,2,10.4
48706,vs EG,LEC LCS Playoffs,Cloud9,TEAM,Y,C9,5,-330.0,76.9%,7700,0.0,0.0,0.0,0.0,8.6,3.3,1.0,29:53,69.1,127.8,29.0,23.5,92.57,92.57,100,,19,12.0
48706,vs G2,LEC LCS Playoffs,Orome,TOP,P,MAD,5,235.0,29.9%,7600,2.3,2.5,5.7,237.3,0.0,0.0,0.0,31:47,52.9,109.1,26.2,22.5,75.37,75.37,100,,14,9.9
