id,site,league,slate,site_id,name,period,max_entries,max_entrants,cost,prizepool,places_paid,total_entrants,winning_score,mincash_score,startdate,winning_payout,mincash_payout,DateTime,Title,game_cnt,winner_cnt,winner,has_lineups
511570685,draftkings,LOL,37104,88504005,LOL $6K mini-MAX [150 Entry Max] (LPL),2020-07-21,150,14268,0.5,6000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511450256,fanduel,LOL,47099,47099-235640216,$500 Tue LOL Minion Wave (150 Entries Max),2020-07-21,150,11976,0.05,500.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511570684,draftkings,LOL,37104,88504007,LOL $10K mini-MAX [150 Max Entry] (LPL),2020-07-21,150,11890,1.0,10000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511448221,draftkings,LOL,37104,88499896,LOL $150K ACE Attack [$50K to 1st] (LPL),2020-07-21,150,9803,18.0,150000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511448223,draftkings,LOL,37104,88499895,LOL $25K Elder Dragon [$5K to 1st] (LPL),2020-07-21,20,7431,4.0,25000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511570706,draftkings,LOL,37104,88503999,LOL $1.5K Quarter Jukebox [Just $0.25!] (LPL),2020-07-21,20,7134,0.25,1500.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511450270,fanduel,LOL,47099,47099-235640223,$40K Tue LOL Nexus ($10K to 1st),2020-07-21,150,6802,7.0,40000.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511570713,draftkings,LOL,37104,88503990,LOL $500 Dime Time [Just $0.10!] (LPL),2020-07-21,20,5945,0.1,500.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511450258,fanduel,LOL,47099,47099-235640217,$800 Tue LOL Turret ($0.25 to Enter),2020-07-21,114,3832,0.25,800.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511570705,draftkings,LOL,37104,88503984,LOL $2K First Blood (LPL),2020-07-21,20,2378,1.0,2000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511570700,draftkings,LOL,37104,88503991,LOL $3K Trident Slash [3 Entry Max] (LPL),2020-07-21,3,1189,3.0,3000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511450274,fanduel,LOL,47099,47099-235640220,$2K Tue LOL Teamfight (5 Entries Max),2020-07-21,5,793,3.0,2000.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511570698,draftkings,LOL,37104,88504011,LOL $4K Triple Combo [3 Entry Max] (LPL),2020-07-21,3,588,8.0,4000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511570707,draftkings,LOL,37104,88503985,LOL $2 Double Up (LPL),2020-07-21,17,574,2.0,1000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511448224,draftkings,LOL,37104,88499894,LOL $20.2K Bounty Hunter [$5K to 1st] (LPL),2020-07-21,16,535,44.0,20200.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511570703,draftkings,LOL,37104,88503992,LOL $2K Solo Fight [Single Entry] (LPL),2020-07-21,1,475,5.0,2000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511570714,draftkings,LOL,37104,88504006,LOL $400 Daily Dollar [Single Entry] (LPL),2020-07-21,1,475,1.0,400.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511573720,draftkings,LOL,37104,88504300,LOL SUPERSat to Fantasy Golf Millionaire [2x] (LPL),2020-07-21,14,475,0.1,40.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511450260,fanduel,LOL,47099,47099-235640218,$300 Tue LOL Tower Dive (Single Entry),2020-07-21,1,357,1.0,300.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511570711,draftkings,LOL,37104,88503987,LOL $2 Double Up (LPL),2020-07-21,8,287,2.0,500.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511570701,draftkings,LOL,37104,88504003,LOL $2.5K Solo Kill [Single Entry] (LPL),2020-07-21,1,245,12.0,2500.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511448222,draftkings,LOL,37104,88499893,LOL $72K Triumphant Warrior [$20K to 1st] (LPL),2020-07-21,7,240,333.0,72000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511450254,fanduel,LOL,47099,47099-235640219,$400 Tue LOL Super Minion (Single Entry),2020-07-21,1,238,2.0,400.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511570690,draftkings,LOL,37104,88503995,LOL Single Entry $5 Double Up (LPL),2020-07-21,1,229,5.0,1000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511570692,draftkings,LOL,37104,88503996,LOL Single Entry $5 Double Up (LPL),2020-07-21,1,229,5.0,1000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511527903,draftkings,LOL,37104,88502264,LOL $1 200-Player (Top 3 Win),2020-07-21,1,200,1.0,180.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511450266,fanduel,LOL,47099,47099-235640226,$5K Tue LOL Elder Drake ($1K to 1st),2020-07-21,5,178,33.0,5000.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511570702,draftkings,LOL,37104,88504000,LOL $3K Triple Kill [3 Entry Max] (LPL),2020-07-21,3,176,20.0,3000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511570689,draftkings,LOL,37104,88504004,LOL $4K Single-Target [Single Entry] (LPL),2020-07-21,1,172,27.0,4000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511573714,draftkings,LOL,37104,88504316,LOL SUPERSat to $10 MLB Million Dollar Contests [3x] (LPL),2020-07-21,4,142,0.25,30.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511573715,draftkings,LOL,37104,88504315,LOL SUPERSat to $10 MLB Million Dollar Contests [3x] (LPL),2020-07-21,4,142,0.25,30.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511573716,draftkings,LOL,37104,88504314,LOL SUPERSat to $10 MLB Million Dollar Contests [3x] (LPL),2020-07-21,4,142,0.25,30.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511573717,draftkings,LOL,37104,88504313,LOL SUPERSat to $10 MLB Million Dollar Contests [3x] (LPL),2020-07-21,4,142,0.25,30.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511450276,fanduel,LOL,47099,47099-235640221,$500 Tue LOL Pentakill (Single Entry),2020-07-21,1,119,5.0,500.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511570719,draftkings,LOL,37104,88504030,LOL SUPERSat to NBA $3M Return Millionaire [25x] (LPL),2020-07-21,3,118,1.0,100.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511573703,draftkings,LOL,37104,88504304,LOL Satellite to NBA $3M Millionaire (LPL),2020-07-21,3,118,0.25,25.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511573704,draftkings,LOL,37104,88504303,LOL Satellite to NBA $3M Millionaire (LPL),2020-07-21,3,118,0.25,25.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511573721,draftkings,LOL,37104,88504299,LOL $1 Contest [3 Entry Max] (LPL),2020-07-21,3,118,1.0,100.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511450272,fanduel,LOL,47099,47099-235640225,$1.2K Tue LOL Inhibitor (3 Entries Max),2020-07-21,3,117,12.0,1200.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511570708,draftkings,LOL,37104,88504001,LOL Single Entry $10 Double Up (LPL),2020-07-21,1,114,10.0,1000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511570710,draftkings,LOL,37104,88504002,LOL Single Entry $10 Double Up (LPL),2020-07-21,1,114,10.0,1000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511570712,draftkings,LOL,37104,88503986,LOL $5 Double Up (LPL),2020-07-21,3,114,5.0,500.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511450262,fanduel,LOL,47099,47099-235640688,$100 LOL Rift Herald (No Experienced Players),2020-07-21,3,110,1.0,100.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511577882,draftkings,LOL,37104,88503989,LOL $13.5K Curtain Call [3 Entry Max] (LPL),2020-07-21,3,100,150.0,13500.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511573719,draftkings,LOL,37104,88504311,LOL Satellite to EPL 2020 Season Finale (7-26),2020-07-21,2,96,0.25,20.2,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511573707,draftkings,LOL,37104,88504308,LOL SUPERSat to NBA $3M Return Millionaire [5x] (LPL),2020-07-21,2,95,0.25,20.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511573708,draftkings,LOL,37104,88504307,LOL SUPERSat to NBA $3M Return Millionaire [5x] (LPL),2020-07-21,2,95,0.25,20.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511570691,draftkings,LOL,37104,88503993,LOL Single Entry $25 Double Up (LPL),2020-07-21,1,91,25.0,2000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511570693,draftkings,LOL,37104,88503994,LOL Single Entry $25 Double Up (LPL),2020-07-21,1,91,25.0,2000.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511450364,fanduel,LOL,47099,47099-235640692,$150 LOL Triple Up ($2),2020-07-21,1,85,2.0,150.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511570718,draftkings,LOL,37104,88504031,LOL SUPERSat to $10 MLB Million Dollar Contests [20x] (LPL),2020-07-21,2,79,3.0,200.0,,,,,1595322000,,,2020-07-21 05:00:00,(LPL),2,0,,0
511450360,fanduel,LOL,47099,47099-235640689,$100 LOL Double Up ($2),2020-07-21,1,56,2.0,100.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511450362,fanduel,LOL,47099,47099-235640691,$250 LOL Double Up ($5),2020-07-21,1,56,5.0,250.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
511480238,fanduel,LOL,47099,47099-235640690,$100 LOL Double Up ($2),2020-07-21,1,56,2.0,100.0,,,,,1595322000,,,2020-07-21 05:00:00,LPL Main,2,0,,0
