Title,slate,Player,Pos,Start,Team,Opp,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value,Actual Score,Val,AvgTur,AvgDrg,AvgBrns,AvgLgth
Main,46026.0,Jiumeng,ADC,Y,WE,vs EDG,3,155.0,39.20%,10200,4.8,2.5,5.8,271.8,16.7,107.7,85.3,36.4,53.09,53.09,100,,57,5.2,93.68,9.2,,,,
Main,46026.0,huanfeng,ADC,Y,SN,vs LNG,3,-172.5,63.30%,9700,4.8,2.6,5.5,318.2,40.2,122.9,79.9,33.1,73.28,73.28,100,,59,7.6,79.34,8.2,,,,
Main,46026.0,Hope,ADC,Y,EDG,vs WE,3,-155.0,60.60%,9500,4.9,1.4,5.1,319.7,49.1,119.8,87.2,28.3,77.38,77.38,100,,68,8.1,82.66,8.7,,,,
Main,46026.0,Light,ADC,Y,LNG,vs SN,3,172.5,36.70%,9300,2.5,2.6,3.2,291.7,32.2,84.2,40.4,20.8,52.99,52.99,100,,49,5.7,21.32,2.3,,,,
Main,46026.0,Teacherma,MID,Y,WE,vs EDG,3,155.0,39.20%,9200,3.5,2.8,7.1,225.9,21.3,91.1,82.7,27.9,49.24,49.24,100,,66,5.4,96.98,10.5,,,,
Main,46026.0,beishang,JNG,Y,WE,vs EDG,3,155.0,39.20%,8900,3.0,2.3,8.1,172.7,14.9,98.9,78.0,33.6,48.53,48.53,100,,57,5.5,81.22,9.1,,,,
Main,46026.0,Angel,MID,Y,SN,vs LNG,3,-172.5,63.30%,8900,4.3,2.2,5.9,252.5,39.9,115.2,75.3,30.1,70.0,70.0,100,,60,7.9,71.72,8.1,,,,
Main,46026.0,Morgan,TOP,Y,WE,vs EDG,3,155.0,39.20%,8800,2.6,3.0,5.5,233.9,19.1,90.8,61.8,28.7,47.76,47.76,100,,54,5.4,85.1,9.7,,,,
Main,46026.0,SofM,JNG,Y,SN,vs LNG,3,-172.5,63.30%,8600,1.8,3.2,8.9,169.8,32.9,98.4,63.9,26.2,59.09,59.09,100,,59,6.9,65.36,7.6,,,,
Main,46026.0,bin,TOP,Y,SN,vs LNG,3,-172.5,63.30%,8600,2.8,3.5,4.5,251.4,19.4,90.4,49.1,28.4,47.83,47.83,100,,42,5.6,79.6,9.3,,,,
Main,46026.0,Scout,MID,Y,EDG,vs WE,3,-155.0,60.60%,8500,3.7,1.9,5.6,284.8,45.8,101.3,77.0,22.2,68.04,68.04,100,,71,8.0,85.72,10.1,,,,
Main,46026.0,Maple,MID,Y,LNG,vs SN,3,172.5,36.70%,8400,3.2,2.1,4.6,255.6,25.7,107.9,58.5,32.9,58.58,58.58,100,,44,7.0,20.54,2.4,,,,
Main,46026.0,JunJia,JNG,Y,EDG,vs WE,3,-155.0,60.60%,8300,1.6,2.9,7.7,158.3,20.2,97.7,61.3,31.0,51.23,51.23,100,,49,6.2,84.54,10.2,,,,
Main,46026.0,JieJie,JNG,N,EDG,vs WE,3,-155.0,60.60%,8300,2.4,1.2,8.7,143.6,0.0,40.4,68.3,26.9,0.0,0.0,100,,61,0.0,8.7,1.0,,,,
Main,46026.0,Aodi,TOP,Y,EDG,vs WE,3,-155.0,60.60%,8200,2.8,2.0,5.5,240.1,29.6,89.6,73.0,24.0,53.58,53.58,100,,67,6.5,54.32,6.6,,,,
Main,46026.0,Xx,JNG,Y,LNG,vs SN,3,172.5,36.70%,8000,1.8,3.1,4.9,157.8,18.6,80.3,42.9,24.7,43.27,43.27,100,,42,5.4,19.36,2.4,,,,
Main,46026.0,Missing,SUP,Y,WE,vs EDG,3,155.0,39.20%,7900,0.9,2.8,9.7,41.0,9.1,77.8,60.7,27.5,36.57,36.57,100,,55,4.6,61.84,7.8,,,,
Main,46026.0,Plex,MID,N,WE,vs EDG,3,155.0,39.20%,7800,2.1,2.8,5.9,211.8,0.0,53.6,49.2,35.7,0.0,0.0,100,,27,0.0,0.0,,,,,
Main,46026.0,Poss,TOP,N,WE,vs EDG,3,155.0,39.20%,7800,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0,0.0,,,,,
Main,46026.0,Team WE,TEAM,Y,WE,vs EDG,3,155.0,39.20%,7800,0.0,0.0,0.0,0.0,14.1,70.1,44.5,22.4,36.47,36.47,100,,50,4.7,49.0,6.3,,,,
Main,46026.0,xiaoxiang,TOP,N,EDG,vs WE,3,-155.0,60.60%,7800,2.5,2.4,2.8,241.5,0.0,40.4,42.6,26.9,0.0,0.0,100,,37,0.0,0.0,,,,,
Main,46026.0,BBD,ADC,N,EDG,vs WE,3,-155.0,60.60%,7800,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0,0.0,,,,,
Main,46026.0,Shanks,MID,N,WE,vs EDG,3,155.0,39.20%,7800,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0,0.0,,,,,
Main,46026.0,View,JNG,N,SN,vs LNG,3,-172.5,63.30%,7800,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0,0.0,,,,,
Main,46026.0,SwordArt,SUP,Y,SN,vs LNG,3,-172.5,63.30%,7700,0.6,3.3,9.5,32.3,22.2,86.5,50.7,25.7,47.94,47.94,100,,49,6.2,52.78,6.9,,,,
Main,46026.0,Flandre,TOP,N,LNG,vs SN,3,172.5,36.70%,7700,2.0,3.4,4.7,261.3,0.0,42.3,47.9,28.2,0.0,0.0,100,,41,0.0,0.0,,,,,
Main,46026.0,Suning,TEAM,Y,SN,vs LNG,3,-172.5,63.30%,7600,0.0,0.0,0.0,0.0,24.8,69.3,35.7,17.8,42.62,42.62,100,,50,5.6,54.0,7.1,,,,
Main,46026.0,chenlun17,TOP,Y,LNG,vs SN,3,172.5,36.70%,7600,1.7,3.2,4.2,199.7,0.0,81.3,41.5,34.1,30.17,30.17,100,,18,4.0,23.48,3.1,,,,
Main,46026.0,Meiko,SUP,Y,EDG,vs WE,3,-155.0,60.60%,7400,0.7,2.8,8.7,31.6,17.3,84.8,54.0,27.0,44.32,44.32,100,,50,6.0,67.2,9.1,,,,
Main,46026.0,EDward Gaming,TEAM,Y,EDG,vs WE,3,-155.0,60.60%,7300,0.0,0.0,0.0,0.0,27.0,75.0,43.2,19.2,46.15,46.15,100,,56,6.3,42.0,5.8,,,,
Main,46026.0,Duan,SUP,N,LNG,vs SN,3,172.5,36.70%,7200,0.6,3.6,6.5,51.2,0.0,35.7,34.1,23.8,0.0,0.0,100,,30,0.0,0.0,,,,,
