"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"47450-120222","ADC","Zven","Zven","Zven","39.503810337611604","21","10300","C9@GG","C9","GG","","","","",""
"47450-120269","ADC","Tactical","Tactical","Tactical","20.273334079318577","18","10200","CLG@TL","TL","CLG","","","","",""
"47450-120232","ADC","WildTurtle","WildTurtle","WildTurtle","38.77764533547794","17","9900","OHT@FQ","FQ","OHT","","","","",""
"47450-120243","ADC","Apollo","Apollo","Apollo","17.9375","16","9500","DIG@IM","IM","DIG","","","","",""
"47450-133764","ADC","MasH","MasH","MasH","14.147999572753907","10","9400","OHT@FQ","FQ","OHT","","","","",""
"47450-120221","MID","Nisqy","Nisqy","Nisqy","42.464762369791664","21","9300","C9@GG","C9","GG","","","","",""
"47450-120281","ADC","Johnsun","Johnsun","Johnsun","21.87368453176398","19","9200","DIG@IM","DIG","IM","","","","",""
"47450-120220","JNG","Blaber","Blaber","Blaber","40.30476306733631","21","9000","C9@GG","C9","GG","","","","",""
"47450-120268","MID","Jensen","Jensen","Jensen","23.536666870117188","18","9000","CLG@TL","TL","CLG","","","","",""
"47450-120231","MID","PowerOfEvil","PowerOfEvil","PowerOfEvil","41.419166564941406","24","8800","OHT@FQ","FQ","OHT","","","","",""
"47450-120266","JNG","Broxah","Broxah","Broxah","20.480000813802082","18","8800","CLG@TL","TL","CLG","","","","",""
"47450-120288","ADC","Stixxay","Stixxay","Stixxay","22.72333272298177","18","8800","CLG@TL","CLG","TL","","","","",""
"47450-134669","MID","Insanity","Insanity","Insanity","19.864999771118164","8","8600","DIG@IM","IM","DIG","","","","",""
"47450-120219","TOP","Licorice","Licorice","Licorice","33.196190243675595","21","8600","C9@GG","C9","GG","","","","",""
"47450-120230","JNG","Santorin","Santorin","Santorin","36.699999491373696","24","8500","OHT@FQ","FQ","OHT","","","","",""
"47450-120248","ADC","Cody Sun","Cody Sun","Cody Sun","30.058093843005953","21","8500","OHT@FQ","OHT","FQ","","","","",""
"47450-135094","MID","Fenix","Fenix","Fenix","23.099999564034597","7","8400","DIG@IM","DIG","IM","","","","",""
"47450-120265","TOP","Impact","Impact","Impact","18.169999864366318","18","8300","CLG@TL","TL","CLG","","","","",""
"47450-120240","JNG","Xmithie","Xmithie","Xmithie","13.19124984741211","16","8200","DIG@IM","IM","DIG","","","","",""
"47450-120275","ADC","FBI","FBI","FBI","23.406315853721217","19","8100","C9@GG","GG","C9","","","","",""
"47450-120223","SUP","Vulcan","Vulcan","Vulcan","31.565714518229168","21","8000","C9@GG","C9","GG","","","","",""
"47450-121301","TOP","Solo","Solo","Solo","30.782725941051137","22","8000","OHT@FQ","FQ","OHT","","","","",""
"47450-120286","MID","Pobelter","Pobelter","Pobelter","20.12555609809028","18","8000","CLG@TL","CLG","TL","","","","",""
"47450-120225","JNG","Dardoch","Dardoch","Dardoch","26.306249618530273","16","7900","DIG@IM","DIG","IM","","","","",""
"47450-120700","TEAM","Cloud 9","Cloud 9","Cloud 9","28.285714285714285","21","7900","C9@GG","C9","GG","","","","",""
"47450-120706","TEAM","Team Liquid","Team Liquid","Team Liquid","17.833333333333332","18","7800","CLG@TL","TL","CLG","","","","",""
